NUMBER,STREET,CITY,REGION,POSTCODE
3,HOPETOUN STREET,CHARLESTOWN,NSW,2290
66,WARRAROONG STREET,BEVERLY HILLS,NSW,2209
21,SPLATT STREET,SWAN HILL,VIC,3585
6,LANDALE AVENUE,CROYDON,VIC,3136
5,QUEEN STREET,FRANKSTON,VIC,3199
3,JACCARD WAY,LYNWOOD,WA,6147
93,SMITH STREET,DARWIN CITY,NT,0800
47,LINDSAY STREET,MOUNT GAMBIER,SA,5290
,STANAGE BAY ROAD,SHOALWATER,QLD,4702
10,FITZGERALD ROAD,ESSENDON,VIC,3040
7,KILLYLEA WAY,CONSTITUTION HILL,NSW,2145
71,HIBBERD CRESCENT,FORDE,ACT,2914
24,ALICE STREET,SANS SOUCI,NSW,2219
36,FALVEY CRESCENT,GOODNA,QLD,4300
12,LANG ROAD,KENTHURST,NSW,2156
4,JON SANDERS DRIVE,GLENDALOUGH,WA,6016
22,BENBROOK AVENUE,MONT ALBERT NORTH,VIC,3129
68,WEST STREET,HADFIELD,VIC,3046
68,WHITEHEAD GROVE,ROSEBUD,VIC,3939
23-55,MCCRAE STREET,DANDENONG,VIC,3175
6,HIGH STREET,QUEANBEYAN EAST,NSW,2620
26,GEORGE ANGAS DRIVE,GREENOCK,SA,5360
13,HENDERSON STREET,BONDI,NSW,2026
14,ROSEBUD CRESCENT,EATON,WA,6232
17-19,BAYSWATER ROAD,CROYDON,VIC,3136
117,DENISON ROAD,DULWICH HILL,NSW,2203
237,THE COVE ROAD,HALLETT COVE,SA,5158
46,RODERICK STREET,IPSWICH,QLD,4305
7-8,HOWARTH ROAD,LANE COVE NORTH,NSW,2066
15-17,SHERMAN STREET,FOREST HILL,VIC,3131
25,SOUTH STREET,RANGEVILLE,QLD,4350
171,DAVID LOW WAY,BLI BLI,QLD,4560
82,BOUNDARY STREET,BRISBANE CITY,QLD,4000
23,ALCOTT ROAD,ST ALBANS PARK,VIC,3219
347A,RIVERSDALE ROAD,HAWTHORN EAST,VIC,3123
18,SCOULER WAY,BATEMAN,WA,6150
1,KILDARE CRESCENT,PARKHURST,QLD,4702
11,TARNI STREET,COOMBABAH,QLD,4216
2,ST PATRICKS ROAD,MARMION,WA,6020
,KINGAROY COOYAR ROAD,TARONG,QLD,4615
6,ROSEDALE AVENUE,GLEN HUNTLY,VIC,3163
44,LISTER AVENUE,SORRENTO,VIC,3943
1290,STOCKYARD CREEK ROAD,STOCKYARD CREEK,NSW,2460
14,WARHURST AVENUE,TORONTO,NSW,2283
257C,TOORAK ROAD,SOUTH YARRA,VIC,3141
10,WEIR STREET,SALE,VIC,3850
16,GORADA AVENUE,KIRRAWEE,NSW,2232
96,BELMORE STREET,RYDE,NSW,2112
88,GRIFFITH STREET,COOLANGATTA,QLD,4225
19,BRIDLE LANE,BLACK MOUNTAIN,QLD,4563
1,EDMUND RICE DRIVE,SOUTHPORT,QLD,4215
100,MORTS ROAD,MORTDALE,NSW,2223
25-29,DIXON STREET,SYDNEY,NSW,2000
59,CORONAT DRIVE,WILLIAMS LANDING,VIC,3027
9,SECRET CORNER ROAD,RATHMINES,NSW,2283
1A,ALISON ROAD,CARRARA,QLD,4211
9A,BEILBY COURT,HASTINGS,VIC,3915
180,MARINE PARADE,LABRADOR,QLD,4215
399,LOVERS WALK,WOONGARRA,QLD,4670
325-335,NEPEAN HIGHWAY,FRANKSTON,VIC,3199
6,WILCOX STREET,LOGANHOLME,QLD,4129
27,EDGAR STREET,COFFS HARBOUR,NSW,2450
39,PARKES CRESCENT,BLACKETT,NSW,2770
32,AGNES STREET,ALBION,QLD,4010
358A,SOUTH ROAD,MOORABBIN,VIC,3189
31-33,CRANBOURNE DRIVE,CORIO,VIC,3214
,SOUTH BOKARA ROAD,MYPOLONGA,SA,5254
9,CENTRAL PARK DRIVE,CLAREMONT MEADOWS,NSW,2747
9,CLEARFIELD STREET,COLEBEE,NSW,2761
27,AYLESBURY CRESCENT,GLADSTONE PARK,VIC,3043
2,SANDALYN STREET,KELLYVILLE RIDGE,NSW,2155
39,JACANA AVENUE,NARARA,NSW,2250
2-22,EVANS ROAD,CANTON BEACH,NSW,2263
17,KINGFISHER WAY,COWES,VIC,3922
1B,MARY STREET,PERTH,TAS,7300
15,RENEE CLOSE,MULGRAVE,VIC,3170
6,FULLWOOD STREET,WESTON,ACT,2611
267,DARLINGHURST ROAD,DARLINGHURST,NSW,2010
4,COMMERCE DRIVE,LAKE ILLAWARRA,NSW,2528
19,MARYVILLE STREET,RIPPONLEA,VIC,3185
22A,BANGALOW CRESCENT,RACEVIEW,QLD,4305
88,MILTON STREET,ASHFIELD,NSW,2131
986,PACIFIC HIGHWAY,PYMBLE,NSW,2073
83B,HOMER STREET,EARLWOOD,NSW,2206
465,MACAULAY ROAD,KENSINGTON,VIC,3031
742,DEAKIN AVENUE,MILDURA,VIC,3500
9,BUTLER AVENUE,SWANBOURNE,WA,6010
43,CLARKE STREET,HENDRA,QLD,4011
7,WESTERN CRESCENT,GLADESVILLE,NSW,2111
47,RHODES AVENUE,GUILDFORD,NSW,2161
177,PIMPALA ROAD,WOODCROFT,SA,5162
21155,SOUTH WESTERN HIGHWAY,MULLALYUP,WA,6252
41,COAKLEY COURT,ERAKALA,QLD,4740
54,YANDERRA STREET,CONDELL PARK,NSW,2200
71,PORT JACKSON CIRCUIT,PHILLIP,ACT,2606
74,MARGARET STREET,CLAYTON,VIC,3168
15,SHOVELBOARD WAY,VASSE,WA,6280
39,PRIMROSE STREET,GRANGE,QLD,4051
36,BROWNING BOULEVARD,BATTERY HILL,QLD,4551
594,FULLIGANS ROAD,PERICOE,NSW,2550
3,HAMPTON CLOSE,NARRE WARREN,VIC,3805
