phrase,count
road,3494395
street,2437791
drive,1426571
avenue,1229142
lane,928507
court,654518
north,460814
east,441180
county,438020
west,430914
south,416840
county road,342425
place,299431
highway,287726
way,281195
church,262040
school,256013
circle,207921
state,204932
close,194831
boulevard,154276
park,143928
hill,133219
northeast,132793
northwest,130064
cemetery,125350
southwest,124837
the,119348
creek,116674
southeast,112032
trail,109880
route,102819
old,98154
lake,91389
expressway,90860
of,87631
terrace,87251
crescent,86878
ridge,82165
st,79867
state road,79546
forest,72565
oak,72093
township,70934
main,69559
grove,68835
valley,61344
view,58792
high,58559
saint,58447
parkway,58232
creek road,54286
main street,54238
state highway,52740
state route,51760
river,51675
center,51074
elementary,50755
hill road,50155
station,49989
range,49778
historical,48358
range road,48211
pine,48094
elementary school,48084
county highway,47229
national,46436
township road,45042
mill,44531
rd,42747
green,42708
bridge,41725
point,41496
new,41393
hall,41353
bank,40469
baptist,38920
loop,38768
cove,37820
office,37540
post,37264
gardens,36674
house,35982
baptist church,35766
mount,33679
farm,33117
mountain,32799
line,31093
lake road,30918
run,30912
fire,30816
high school,30585
meadow,30213
and,30181
bay,30161
cedar,30023
post office,29837
hollow,29663
spring,29519
freeway,28483
maple,28355
ridge road,27664
chapel,26860
church of,26314
king,26235
development,26072
college,25910
national forest,25657
forest development,24472
national forest development,24421
white,24176
development road,24175
forest development road,24071
national forest development road,24023
st.,23976
memorial,23699
parking,23677
village,23498
centre,23378
red,23058
springs,23028
john,22798
hospital,22768
alley,22569
rock,22380
library,21953
washington,21808
service,21792
square,21741
branch,21731
willow,21711
township highway,21680
tree,21530
central,21472
wood,21285
clinic,21168
san,21144
elm,21114
glen,20809
vista,20673
primary,20637
hills,20633
united,20240
middle,20181
park road,20141
club,20127
avenue northeast,19993
county route,19905
pleasant,19872
city,19842
little,19731
beach,19381
river road,19366
first,19195
community,19130
union,19081
valley road,19036
canyon,19005
walnut,19004
oaks,18761
e,18597
methodist,18594
brook,18241
street northwest,18166
c,18109
church road,18100
street northeast,18058
avenue southeast,18011
primary school,17937
country,17926
james,17752
cross,17749
blue,17490
park drive,16833
market,16822
dr,16724
mill road,16703
lincoln,16678
indian,16666
walk,16571
la,16485
street east,16328
cherry,16318
island,16318
orchard,16258
manor,16254
university,16224
street north,16175
street southeast,16038
n,16020
farm road,15863
public,15843
town,15824
parish,15790
avenue northwest,15786
track,15782
restaurant,15767
christ,15751
cafe,15751
street south,15714
nw,15628
ranch,15621
avenue north,15605
smith,15432
b,15251
sunset,15209
methodist church,15201
street west,15178
garden,15157
department,15038
pond,14969
fox,14936
heights,14898
church street,14757
rose,14741
avenue south,14682
high street,14681
water,14671
woods,14389
jackson,14312
long,14247
grand,14231
ridge drive,14192
george,14008
hollow road,13987
hickory,13928
service road,13928
street southwest,13898
highland,13721
building,13403
creek drive,13397
lee,13381
eagle,13350
gate,13341
pizza,13338
view drive,13332
martin,13328
chestnut,13279
deer,13242
police,13225
s,13030
w,13029
shore,12988
catholic,12841
johnson,12825
birch,12823
point road,12694
avenue east,12623
wilson,12611
bypass,12608
broadway,12429
laurel,12376
middle school,12304
black,12288
oak street,12281
big,12262
stone,12219
lake drive,12213
jefferson,12190
line road,12141
royal,12126
victoria,12090
hill drive,12073
ave,12072
upper,12018
mountain road,11963
avenue southwest,11925
camp,11919
thomas,11872
silver,11636
lower,11560
christian,11556
crest,11539
d,11531
bar,11516
lot,11507
pike,11466
airport,11461
railroad,11348
turnpike,11264
of the,11262
elm street,11207
mary,11172
station road,11105
cemetery road,11093
temple,10950
bell,10924
castle,10802
academy,10799
