phrase  length  count
road  1 3494395
street  1 2437791
drive   1 1426571
avenue  1 1229142
lane  1 928507
court   1 654518
north   1 460814
east  1 441180
county  1 438020
west  1 430914
south   1 416840
county road   2 342425
place   1 299431
highway   1 287726
way   1 281195
church  1 262040
school  1 256013
circle  1 207921
state   1 204932
close   1 194831
boulevard   1 154276
park  1 143928
hill  1 133219
northeast   1 132793
northwest   1 130064
cemetery  1 125350
southwest   1 124837
the   1 119348
creek   1 116674
southeast   1 112032
trail   1 109880
route   1 102819
old   1 98154
lake  1 91389
expressway  1 90860
of  1 87631
terrace   1 87251
crescent  1 86878
ridge   1 82165
st  1 79867
state road  2 79546
forest  1 72565
oak   1 72093
township  1 70934
main  1 69559
grove   1 68835
valley  1 61344
view  1 58792
high  1 58559
saint   1 58447
parkway   1 58232
creek road  2 54286
main street   2 54238
state highway   2 52740
state route   2 51760
river   1 51675
center  1 51074
elementary  1 50755
hill road   2 50155
station   1 49989
range   1 49778
historical  1 48358
range road  2 48211
pine  1 48094
elementary school   2 48084
county highway  2 47229
national  1 46436
township road   2 45042
mill  1 44531
rd  1 42747
green   1 42708
bridge  1 41725
point   1 41496
new   1 41393
hall  1 41353
bank  1 40469
baptist   1 38920
loop  1 38768
cove  1 37820
office  1 37540
post  1 37264
gardens   1 36674
house   1 35982
baptist church  2 35766
mount   1 33679
farm  1 33117
mountain  1 32799
line  1 31093
lake road   2 30918
run   1 30912
fire  1 30816
high school   2 30585
meadow  1 30213
and   1 30181
bay   1 30161
cedar   1 30023
post office   2 29837
hollow  1 29663
spring  1 29519
freeway   1 28483
maple   1 28355
ridge road  2 27664
chapel  1 26860
church of   2 26314
king  1 26235
development   1 26072
college   1 25910
national forest   2 25657
forest development  2 24472
national forest development   3 24421
white   1 24176
development road  2 24175
forest development road   3 24071
national forest development road  4 24023
st.   1 23976
memorial  1 23699
parking   1 23677
village   1 23498
centre  1 23378
red   1 23058
springs   1 23028
john  1 22798
hospital  1 22768
alley   1 22569
rock  1 22380
library   1 21953
washington  1 21808
service   1 21792
square  1 21741
branch  1 21731
willow  1 21711
township highway  2 21680
tree  1 21530
central   1 21472
wood  1 21285
clinic  1 21168
san   1 21144
elm   1 21114
glen  1 20809
vista   1 20673
primary   1 20637
hills   1 20633
united  1 20240
middle  1 20181
park road   2 20141
club  1 20127
avenue northeast  2 19993
county route  2 19905
pleasant  1 19872
city  1 19842
little  1 19731
beach   1 19381
river road  2 19366
first   1 19195
community   1 19130
union   1 19081
valley road   2 19036
canyon  1 19005
walnut  1 19004
oaks  1 18761
e   1 18597
methodist   1 18594
brook   1 18241
street northwest  2 18166
c   1 18109
church road   2 18100
street northeast  2 18058
avenue southeast  2 18011
primary school  2 17937
country   1 17926
james   1 17752
cross   1 17749
blue  1 17490
a   1 17382
park drive  2 16833
market  1 16822
dr  1 16724
mill road   2 16703
lincoln   1 16678
indian  1 16666
walk  1 16571
la  1 16485
street east   2 16328
cherry  1 16318
island  1 16318
orchard   1 16258
manor   1 16254
university  1 16224
street north  2 16175
street southeast  2 16038
n   1 16020
farm road   2 15863
public  1 15843
town  1 15824
parish  1 15790
avenue northwest  2 15786
track   1 15782
restaurant  1 15767
christ  1 15751
cafe  1 15751
street south  2 15714
nw  1 15628
ranch   1 15621
avenue north  2 15605
smith   1 15432
b   1 15251
sunset  1 15209
methodist church  2 15201
street west   2 15178
garden  1 15157
department  1 15038
pond  1 14969
fox   1 14936
heights   1 14898
church street   2 14757
rose  1 14741
avenue south  2 14682
high street   2 14681
water   1 14671
woods   1 14389
jackson   1 14312
long  1 14247
grand   1 14231
ridge drive   2 14192
george  1 14008
hollow road   2 13987
hickory   1 13928
service road  2 13928
street southwest  2 13898
highland  1 13721
building  1 13403
creek drive   2 13397
lee   1 13381
eagle   1 13350
gate  1 13341
pizza   1 13338
view drive  2 13332
martin  1 13328
chestnut  1 13279
deer  1 13242
police  1 13225
s   1 13030
w   1 13029
shore   1 12988
catholic  1 12841
johnson   1 12825
birch   1 12823
point road  2 12694
avenue east   2 12623
wilson  1 12611
bypass  1 12608
broadway  1 12429
laurel  1 12376
middle school   2 12304
black   1 12288
oak street  2 12281
big   1 12262
stone   1 12219
lake drive  2 12213
jefferson   1 12190
line road   2 12141
royal   1 12126
